Date,Winner,First Player,P1,P1 Deck,P2,P2 Deck,P3,P3 Deck,P4,P4 Deck
21.11.2025,Nori,Profit,Saka,Boros,Nori,Prosper,Profit,Alela,,
30.12.2025,Saka,Profit ,Saka,Yshtola,Nori,Prosper,Seba,Anowon,Profit ,Kykar
30.12.2025,Saka,Saka,Saka,CptMill,Nori,Sauron,Seba,Obuun,Profit ,Balekor
30.12.2025,Profit ,Seba,Saka,Hakbal,Nori,Sauron,Seba,Anowon,Profit,Balekor
30.12.2025,Saka,Nori,Saka,Sefris,Nori,Inspirit,,,Profit,Sigarda
14.1.2026,Saka,Saka,Saka,Killian,Nori,Krenko,Profit,Jirina,,
14.1.2026,Nori,Nori,Saka,Sephirot,Kofaj,Gishath ,Nori,Sauron,Profit,Balekor
14.1.2026,Saka,Profit,Saka,Sephirot,Kofaj,Gishath ,Nori,Prosper,Profit,Balekor
14.1.2026,Kofaj,Profit,Saka,Boros,Kofaj,Krenko,Nori,Gishath,Profit,Jirina
17.3.2026,Nori,Saka,Saka,Ruby,Nori,Prosper,Profit,Radtraxa,,
17.3.2026,Saka,Kofaj,Saka,Ruby,Nori,Sauron,Profit,Radtraxa,Kofaj,Krenko
17.3.2026,Profit,Kofaj,Saka,Lyse,Nori,Sauron,Profit,Bello,Kofaj,Krenko
17.3.2026,Saka,Saka,Saka,Lyse,Nori,Sauron,Profit,Bello,Kofaj,Krenko
18.4.2026,Kofaj,Profit,Saka,Liesa,Nori,Prosper,Kofaj,Gishath,Profit,Bello
18.4.2026,Saka,Profit,Saka,Sefris,Nori,Sauron,Kofaj,Sigarda,Profit,Radtraxa
17.05.2026,Nori,Profit,Saka,Hearthhull,Profit,Kykar,Nori,Prosper,,
17.05.2026,Profit,Saka,Saka,Ruby,Profit,Balekor,Nori,Sauron,,
17.05.2026,Saka,Profit,Saka,ShalaiHallar,Profit,Radtraxa,Nori,Sauron,,
17.05.2026,Profit,Saka,Saka,CptMill,Profit,Bello,Nori,Gishath,,
17.05.2026,Saka,Saka,Saka,Killian,Profit,Kathril,Nori,Krenko,,
17.05.2026,Saka,Nori,Saka,Lyse,Profit,Kathril,Nori,Krenko,,
17.05.2026,Nori,Profit,Saka,Killian,Profit,Kathril,Nori,Krenko,,
29.06.2026,Saka,Saka,Saka,Valgavoth,Profit,AbbadonNew,Kofaj,Ruby,,
29.06.2026,Saka,Saka,Saka,Liesa,Profit,AbbadonNew,Kofaj,Tidus,,
29.06.2026,Saka,Saka,Saka,Hearthhull,Profit,Sigarda,Robal,Willowdusk,Kofaj,Tidus
